"Ano","Semestre","Cód. Disciplina","Cód. Turma","Professor","Cód. Curso","Curso","Porcentagem de Aprovado","Porcentagem de Dispensado","Porcentagem de Reprovado","Porcentagem de Tr.Parcial","Porcentagem de Não Concl.","Porcentagem de CancMatric","Porcentagem de Repr.Freq","Alunos"
"2021","2. Semestre","D320200","16","B292200218320",316,"Curso de Engenharia de Telecomunicações",8,0,22,3,1,0,0,49
"2021","2. Semestre","D320200","16","B461200642855",316,"Curso de Engenharia de Telecomunicações",8,0,22,3,1,0,0,49
"2021","2. Semestre","D320200","17","B888642512642",305,"Engenharia Química",64,0,33,3,0,0,0,39
"2021","2. Semestre","D320200","T50REA","B200380461148",305,"Engenharia Química",100,0,0,0,0,0,0,2
"2021","2. Semestre","D320200","T50REA","B200380461148",313,"Curso de Engenharia de Produção",39,0,48,4,9,0,0,23
"2021","2. Semestre","D320200","T50REA","B200380461148",315,"Curso de Engenharia Aeroespacial",0,0,100,0,0,0,0,2
"2021","2. Semestre","D402855","CC","C292200218642",307,"Ciência da Computação - Bacharelado",46,0,46,8,0,0,0,13
"2021","2. Semestre","D402855","SI","C402380642148",314,"Bacharelado em Sistemas de Informação",70,0,30,0,0,0,0,33
"2021","2. Semestre","D888148","10","C380148380200",304,"Engenharia Mecânica",48,4,40,0,4,4,0,25
"2021","2. Semestre","D888148","11","C380148380200",304,"Engenharia Mecânica",67,0,33,0,0,0,0,3
"2021","2. Semestre","D888148","CC1","C380148200685",307,"Ciência da Computação - Bacharelado",40,0,60,0,0,0,0,5
"2021","2. Semestre","D888148","CC2","C218200683888",307,"Ciência da Computação - Bacharelado",20,0,80,0,0,0,0,5
"2021","2. Semestre","D888148","SI1","C380148200685",314,"Bacharelado em Sistemas de Informação",41,9,36,0,5,9,0,22
"2021","2. Semestre","D888148","SI2","C218200683888",314,"Bacharelado em Sistemas de Informação",56,6,33,0,0,6,0,18
"2021","2. Semestre","D888200","CC1","E978402380148",307,"Ciência da Computação - Bacharelado",40,0,40,20,0,0,0,5
"2021","2. Semestre","D888200","CC2","E681200461218",307,"Ciência da Computação - Bacharelado",40,0,40,20,0,0,0,5
"2021","2. Semestre","D888200","SI1","E978402380148",314,"Bacharelado em Sistemas de Informação",43,0,43,0,4,9,0,23
"2021","2. Semestre","D888200","SI2","E681200461218",314,"Bacharelado em Sistemas de Informação",12,0,82,0,0,6,0,17
"2022","1. Semestre","D200888","10","P512200642",123,"Física - Bacharelado",36,0,21,7,0,0,36,14
"2022","1. Semestre","D200888","11","P512200642",402,"Engenharia Florestal",3,0,13,0,10,0,74,31
"2022","1. Semestre","D200888","12","P148855320",110,"Química Industrial",14,0,43,43,0,0,0,7
"2022","1. Semestre","D200888","12","P148855320",133,"Química - Bacharelado",0,0,100,0,0,0,0,12
"2022","1. Semestre","D200888","13","P855200218",302,"Engenharia Civil",33,7,39,0,0,2,20,46
"2022","1. Semestre","D200888","14","P855200218",305,"Engenharia Química",22,0,47,0,0,0,31,45
"2022","1. Semestre","D200888","15","P681200683",139,"Curso de Bacharelado em Estatística - Noturno",35,6,0,0,0,0,59,17
"2022","1. Semestre","D200888","16","P512200642",521,"Ciências Econômicas - Diurno",5,0,30,0,0,0,65,43
"2022","1. Semestre","D200888","50","P512200642",313,"Curso de Engenharia de Produção",0,0,92,8,0,0,0,13
"2022","1. Semestre","D320199","10","A380683888642",303,"Engenharia Elétrica",17,2,48,2,2,4,25,52
"2022","1. Semestre","D320199","11","A681200461218",110,"Química Industrial",14,0,57,10,0,5,14,21
"2022","1. Semestre","D320199","11","A681200461218",133,"Química - Bacharelado",5,0,50,10,0,10,25,20
"2022","1. Semestre","D320199","12","AP681402512218",304,"Engenharia Mecânica",47,0,49,0,0,5,0,43
"2022","1. Semestre","D320199","13","A946200380642",307,"Ciência da Computação - Bacharelado",46,2,30,0,0,2,20,46
"2022","1. Semestre","D320199","14","A380200380642",302,"Engenharia Civil",82,2,8,0,0,2,6,49
"2022","1. Semestre","D320199","15","A642946200380",315,"Curso de Engenharia Aeroespacial",53,4,21,2,0,11,9,53
"2022","1. Semestre","D320199","16","A888402148380",316,"Curso de Engenharia de Telecomunicações",4,1,25,0,2,9,9,51
"2022","1. Semestre","D320199","16","AP681402512218",316,"Curso de Engenharia de Telecomunicações",4,1,25,0,2,9,9,51
"2022","1. Semestre","D320199","17","A218148855402",305,"Engenharia Química",29,1,12,0,0,1,6,39
"2022","1. Semestre","D320199","17","AP681402512218",305,"Engenharia Química",29,1,12,0,0,1,6,39
"2022","1. Semestre","D320199","18","AP806642512402",109,"Química - Licenciatura",30,0,64,0,0,6,0,33
"2022","1. Semestre","D320199","19","A642946200380",402,"Engenharia Florestal",35,0,32,3,0,8,22,37
"2022","1. Semestre","D320199","20","AP806642512402",123,"Física - Bacharelado",57,0,40,0,3,0,0,30
"2022","1. Semestre","D320199","50","A380200380642",303,"Engenharia Elétrica",10,0,86,5,0,0,0,21
"2022","1. Semestre","D320199","50","A380200380642",305,"Engenharia Química",0,0,100,0,0,0,0,1
"2022","1. Semestre","D320199","50","A380200380642",311,"Curso de Engenharia Acústica",0,0,100,0,0,0,0,1
"2022","1. Semestre","D320200","10","B888642512642",309,"Curso de Engenharia Sanitária e Ambiental",33,0,13,7,7,0,40,15
"2022","1. Semestre","D320200","11","B292200218320",312,"Curso de Engenharia de Computação",22,0,19,6,0,0,53,32
"2022","1. Semestre","D320200","12","B200380512402",302,"Engenharia Civil",45,0,4,0,1,0,0,49
"2022","1. Semestre","D320200","12","B380148200148",302,"Engenharia Civil",45,0,4,0,1,0,0,49
"2022","1. Semestre","D320200","13","B461200642855",303,"Engenharia Elétrica",21,0,32,7,4,0,36,28
