"Ano","Semestre","Cód. Disciplina","Cód. Turma","Alunos","Professor","Cód. Curso","Curso","Porcentagem de Aprovado","Porcentagem de Dispensado","Porcentagem de Reprovado","Porcentagem de Tr.Parcial","Porcentagem de Não Concl.","Porcentagem de CancMatric","Porcentagem de Repr.Freq"
2021,"1. Semestre","D320200","13",11,"B320888200683","303","Engenharia Elétrica",5,0,0,0,0,0,0
2021,"1. Semestre","D320200","13",11,"B512402380642","303","Engenharia Elétrica",5,0,0,0,0,0,0
2021,"1. Semestre","D320200","13",11,"B888642512642","303","Engenharia Elétrica",5,0,0,0,0,0,0
2021,"1. Semestre","D320200","13",11,"B292200218320","303","Engenharia Elétrica",5,0,0,0,0,0,0
2021,"1. Semestre","D320200","13",28,"B200380461148","303","Engenharia Elétrica",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","13",28,"B320888200683","303","Engenharia Elétrica",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","13",28,"B512402380642","303","Engenharia Elétrica",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","13",28,"B888642512642","303","Engenharia Elétrica",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","13",28,"B292200218320","303","Engenharia Elétrica",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","13",28,"B461200642855","303","Engenharia Elétrica",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","14",5,"B200380461148","304","Engenharia Mecânica",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","14",5,"B320888200683","304","Engenharia Mecânica",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","14",5,"B512402380642","304","Engenharia Mecânica",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","14",5,"B888642512642","304","Engenharia Mecânica",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","14",5,"B292200218320","304","Engenharia Mecânica",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","14",5,"B461200642855","304","Engenharia Mecânica",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","14",1,"B200380461148","304","Engenharia Mecânica",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","14",1,"B320888200683","304","Engenharia Mecânica",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","14",1,"B512402380642","304","Engenharia Mecânica",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","14",1,"B888642512642","304","Engenharia Mecânica",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","14",1,"B292200218320","304","Engenharia Mecânica",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","14",1,"B461200642855","304","Engenharia Mecânica",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","14",24,"B200380461148","304","Engenharia Mecânica",0,0,13,0,0,0,0
2021,"1. Semestre","D320200","14",24,"B320888200683","304","Engenharia Mecânica",0,0,13,0,0,0,0
2021,"1. Semestre","D320200","14",24,"B512402380642","304","Engenharia Mecânica",0,0,13,0,0,0,0
2021,"1. Semestre","D320200","14",24,"B888642512642","304","Engenharia Mecânica",0,0,13,0,0,0,0
2021,"1. Semestre","D320200","14",24,"B292200218320","304","Engenharia Mecânica",0,0,13,0,0,0,0
2021,"1. Semestre","D320200","14",24,"B461200642855","304","Engenharia Mecânica",0,0,13,0,0,0,0
2021,"1. Semestre","D320200","15",12,"B461200642855","315","Curso de Engenharia Aeroespacial",9,0,0,0,0,0,0
